20,0.268054016993
44,0.125039022626
50,0.106229620098
basketball,0.132672990983
hbl,0.101433848088
high,0.136746185905
league,0.132672990983
school,0.135276575372
中等,0.138355962109
傷兵,0.140135487143
北一女中,0.153831990159
大爆,0.153831990159
學校,0.116721160584
小綠綠,0.307663980319
年來,0.325997930163
忠明,0.144380154262
成軍,0.153831990159
打進,0.136746185905
淚灑,0.307663980319
無緣,0.144380154262
球場,0.241931655408
籃球,0.110188616706
聯賽,0.115369249945
輸給,0.150063125388
預賽,0.140135487143
頹勢,0.153831990159
首度,0.399227314111
高中,0.112217838082
高級,0.131507710601
