pm2,0.271860274536
who,0.173901480927
修正,0.117886601589
修法,0.105400283565
健康,0.110318853697
公約,0.173901480927
前天,0.102961126161
參考,0.166707285147
國民,0.123117250456
室內,0.274011608348
強調,0.124161261564
志文,0.315287340734
控制,0.161602922009
推動,0.116437382571
有救,0.271860274536
框架,0.157643670367
歷年來,0.173901480927
焦點,0.251704713504
空污,0.225376221077
草案,0.135930137268
菸害,0.161602922009
菸草,0.173901480927
行政院會,0.14721453045
行政院長,0.139375061015
評論,0.294429060899
賴清德,0.122131270699
重要,0.112688110538
防制法,0.161602922009
