15,0.158609824766
一銀,0.394092456498
三路,0.126525825256
上午兵,0.126525825256
主辦,0.110312576663
五人,0.126525825256
住處,0.100321308947
供稱,0.126525825256
偵訊,0.102397172525
傳喚,0.113317529812
共十,0.126525825256
分行,0.126525825256
南機站,0.126525825256
同步,0.100978339619
地檢署,0.103166893875
專業,0.113317529812
帶回,0.10485239802
弊案,0.126525825256
應訊,0.117191588212
承辦人,0.107857351168
施壓,0.126525825256
本案,0.110312576663
檢傳,0.253051650512
漏夜,0.113317529812
獵雷艦,0.201956679239
總行,0.126525825256
聯貸,0.107857351168
聯貸案,0.126525825256
董座,0.270173946997
蔡慶年,0.302935018858
被告,0.286554482927
高雄,0.139941350678
